marker,pvalue
Eosinophil_CD63_LPS,0.344502151013611
Eosinophil_CD63_IL246,0.272555859192612
Eosinophil_CD63_IL18,0.455997591038201
Neutrophil_VDAC1_Unstim,0.647193494659962
Neutrophil_VDAC1_LPS,0.503170709872556
Neutrophil_VDAC1_IL246,0.0838569411592905
Neutrophil_VDAC1_IL18,0.250491003577278
Neutrophil_GLUT1_Unstim,0.425209793360395
Neutrophil_GLUT1_LPS,0.941053518054758
Neutrophil_GLUT1_IL246,0.644324032437052
Neutrophil_GLUT1_IL18,0.68202627682848
Neutrophil_CPT1a_Unstim,0.253801909716629
Neutrophil_CPT1a_LPS,0.290408919248113
Neutrophil_CPT1a_IL246,0.708608153756181
Neutrophil_CPT1a_IL18,0.250491003577278
Neutrophil_pCREB_Unstim,0.00263150504305674
Neutrophil_pCREB_LPS,1.78781725381106e-4
Neutrophil_pCREB_IL246,0.756733648750368
Neutrophil_pCREB_IL18,0.352723921339142
Neutrophil_pSTAT5_Unstim,0.765869777407176
Neutrophil_pSTAT5_IL246,0.14513515873847
Neutrophil_pP38_Unstim,0.0571292084682322
Neutrophil_pP38_LPS,0.138629386857824
Neutrophil_pP38_IL18,0.0605685682466461
Neutrophil_pSTAT1_Unstim,0.160133032638587
Neutrophil_pSTAT3_Unstim,0.248846908359742
Neutrophil_pSTAT3_IL246,0.982460810824673
Neutrophil_prpS6_Unstim,0.963337107236902
Neutrophil_prpS6_LPS,0.234389186712822
Neutrophil_prpS6_IL246,0.147354943934225
Neutrophil_prpS6_IL18,0.679096219595826
Neutrophil_PD-L1_Unstim,0.470619706176199
Neutrophil_PD-L1_LPS,0.735549778988347
Neutrophil_PD-L1_IL246,0.765869777407176
Neutrophil_PD-L1_IL18,0.161222148353689
Neutrophil_CD44_Unstim,0.624387914964712
Neutrophil_CD44_LPS,0.702668934191952
Neutrophil_CD44_IL246,0.899804986267321
Neutrophil_CD44_IL18,0.596381138792308
Neutrophil_pNFkB_Unstim,0.334398388219887
Neutrophil_pNFkB_LPS,0.802728974419084
Neutrophil_pNFkB_IL246,0.896641769244521
Neutrophil_pNFkB_IL18,0.243959951024634
Neutrophil_pERK1-2_Unstim,0.119504031635318
Neutrophil_pERK1-2_LPS,0.109415354519088
Neutrophil_pERK1-2_IL18,0.114831408144153
Neutrophil_pSTAT6_Unstim,0.310449032807584
Neutrophil_pSTAT6_IL246,0.43926615230454
