Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
University of Connecticut-Avery Point,Suburban,0,0,0.9427,1128,662,19030,13768,15777,0.7083,0.3897,0.8051,0.4564,0.02,0.4734,5.4
University of Connecticut-Stamford,Urban,0,1,0.914,1073,2408,25497,3771,15777,0.7083,0.481,0.8176,0.393,0.02,0.4834,5.4
Oregon State University-Cascades Campus,Urban,0,0,0.7669,1132,1243,25945,3967,11819,0.75,0.2473,0.7333,0.3978,0.028,0.4909,6.79
University of California-Merced,Rural,0,1,0.848,1066,8546,35005,10840,11850,0.9336,0.6497,0.8634,0.485,0.028,0.4728,13.78
University of Minnesota-Rochester,Urban,0,0,0.7375,1152,595,25495,5950,6875,1,0.3742,0.8028,0.5583,0.017,0.2264,0.73
Texas A&M University-San Antonio,Rural,0,1,0.5985,1022,6841,21104,8229,7712,1,0.4217,0.6752,0.3855,0.074,0.3676,3.66
University of Connecticut-Hartford Campus,Urban,0,0,0.9616,1093,1745,21187,12984,13909,0.6892,0.4283,0.8525,0.4058,0.02,0.4635,13.5
Augusta University,Urban,0,0,0.8288,1121,6290,20115,13356,8940,0.7141,0.4069,0.7358,0.4462,0.035,0.3418,286.58
University of North Georgia,Small Town,0,0,0.8145,1097,22283,16816,5198,7039,0.7517,0.3139,0.7754,0.2607,0.058,0.4311,68.25
University of North Texas at Dallas,Urban,0,1,0.9299,956,3761,18930,8261,8371,1,0.6516,0.7077,0.1814,0.05,0.3223,0.91
Kennesaw State University,Suburban,0,0,0.8311,1117,39961,25059,5279,8162,0.6448,0.3367,0.7968,0.4343,0.048,0.5092,52.3
Purdue University Northwest,Suburban,0,0,0.3028,1071,11014,17408,9595,8786,0.9966,0.4151,0.7059,0.3902,0.051,0.4414,30.01
The Pennsylvania State University,Urban,0,0,0.7827,1198,84202,33960,15753,10822,0.828,0.2273,0.8691,0.5123,0.04,0.5367,3150.7
