PlayerName,Age,Team,Bats,Games,PlateAppearances,Doubles,Triples,IntWalks,SacBunts,SacFlies,HitByPitch,StolenBases,CaughtStealing
Bill Gullickson,27,CIN,R,37,91,0,0,0,9,0,0,0,0
Dave Gumpert,28,CHC,R,38,5,0,0,0,0,0,0,0,0
Jackie Gutierrez,26,BAL,R,61,152,3,0,0,2,1,1,3,1
Tony Gwynn,26,SDP,L,160,701,33,7,11,2,2,3,37,9
Jerry Hairston,34,CHW,S,101,253,15,0,3,0,1,1,0,0
Albert Hall,28,ATL,S,16,57,2,0,0,2,0,0,8,3
Drew Hall,23,CHC,L,5,8,0,0,0,0,0,0,0,0
Mel Hall,25,CLE,L,140,480,29,2,8,0,3,2,6,2
Jeff Hamilton,22,LAD,R,71,151,5,0,1,0,2,0,0,0
Brian Harper,26,DET,R,19,41,1,0,0,1,1,0,0,0
Terry Harper,30,ATL,R,106,298,12,0,2,1,2,1,3,6
Toby Harrah,37,TEX,R,95,341,18,2,0,3,3,2,2,5
Ron Hassey,33,TOT,L,113,393,25,1,3,1,2,3,1,1
Billy Hatcher,25,HOU,R,127,453,15,4,1,6,1,5,38,14
Mickey Hatcher,31,MIN,R,115,340,13,3,2,0,4,0,2,1
Andy Hawkins,26,SDP,R,37,74,1,0,0,6,0,0,0,0
Von Hayes,27,PHI,L,158,690,46,2,9,1,4,1,24,12
Ray Hayward,25,SDP,L,4,4,0,0,0,0,0,0,0,0
Ed Hearn,25,NYM,R,49,151,5,0,0,2,1,0,0,1
Jeff Hearron,24,TOR,R,12,26,1,0,0,0,0,0,0,0
Mike Heath,31,TOT,R,95,319,11,1,4,1,2,1,6,4
Danny Heep,28,NYM,L,86,227,8,2,5,0,1,1,1,4
Dave Henderson,27,TOT,R,139,432,22,4,4,2,1,2,2,3
Rickey Henderson,27,NYY,R,153,701,31,5,2,0,2,2,87,18
Steve Henderson,33,OAK,R,11,27,1,0,0,0,1,0,0,0
George Hendrick,36,CAL,R,102,317,13,1,5,4,3,1,1,1
Dave Hengel,24,SEA,R,21,66,1,0,0,1,0,1,0,0
Tom Henke,28,TOR,R,2,0,0,0,0,0,0,0,0,0
Chuck Hensley,27,SFG,L,11,0,0,0,0,0,0,0,0,0
Keith Hernandez,32,NYM,L,149,652,34,1,9,0,3,4,2,1
Leo Hernandez,26,NYY,R,7,23,2,0,0,0,0,0,0,0
Manny Hernandez,25,HOU,R,9,7,0,0,0,1,0,0,0,0
Willie Hernandez,31,DET,L,1,0,0,0,0,0,0,0,0,0
Larry Herndon,32,DET,R,106,316,13,1,2,0,5,1,2,1
Tom Herr,30,STL,S,152,647,30,4,10,6,4,5,22,8
Orel Hershiser,27,LAD,R,37,82,3,0,0,10,0,0,0,1
Joe Hesketh,27,MON,L,15,28,0,0,0,3,0,0,0,0
Donnie Hill,25,OAK,S,108,366,16,2,1,4,0,0,5,2
Marc Hill,34,CHW,R,22,21,0,0,0,0,0,1,0,0
Glenn Hoffman,27,BOS,R,12,26,2,0,0,0,1,0,0,0
Guy Hoffman,29,CHC,L,33,20,0,0,0,3,0,0,0,0
Brian Holton,26,LAD,R,12,5,0,0,0,0,0,0,0,0
Rick Honeycutt,32,LAD,L,32,57,1,0,0,6,0,0,0,0
Bob Horner,28,ATL,R,141,581,22,0,8,0,10,2,1,4
Ricky Horton,26,STL,L,42,25,0,0,0,2,0,0,0,0
Paul Householder,27,MIL,S,26,90,3,1,0,2,2,1,1,2
Jack Howell,24,CAL,L,63,175,14,2,0,3,2,0,2,0
Jay Howell,30,OAK,R,2,0,0,0,0,0,0,0,0,0
Ken Howell,25,LAD,R,62,5,0,0,0,0,0,0,0,0
LaMarr Hoyt,31,SDP,R,35,50,1,0,0,3,0,0,0,0
Kent Hrbek,26,MIN,L,149,634,27,1,9,0,7,6,2,2
Glenn Hubbard,28,ATL,R,143,488,16,1,14,6,4,4,3,2
Rex Hudler,25,BAL,R,14,1,0,0,0,0,0,0,1,0
Charles Hudson,27,PHI,S,36,51,0,0,0,7,0,0,0,0
Tim Hulett,26,CHW,R,150,552,16,5,0,6,4,1,4,1
Tom Hume,33,PHI,R,48,16,0,0,0,5,0,0,0,0
Randy Hunt,26,MON,R,21,54,0,0,2,0,0,0,0,0
Clint Hurdle,28,STL,L,78,184,5,1,0,1,2,1,0,0
Pete Incaviglia,22,TEX,R,153,606,21,2,2,0,7,4,3,2
Dane Iorg,36,SDP,L,90,109,2,1,0,0,1,0,0,0
Garth Iorg,31,TOR,R,137,351,19,1,0,1,2,1,3,0
Bo Jackson,23,KCR,R,25,91,2,1,0,0,0,2,3,1
Michael Jackson,21,PHI,R,9,0,0,0,0,0,0,0,0,0
Reggie Jackson,40,CAL,L,132,517,12,2,11,0,3,3,1,1
Roy Lee Jackson,32,MIN,R,1,0,0,0,0,0,0,0,0,0
Brook Jacoby,26,CLE,R,158,641,30,4,5,1,1,0,2,1
Bob James,27,CHW,R,2,0,0,0,0,0,0,0,0,0
Chris James,23,PHI,R,16,48,3,0,0,1,0,0,0,0
Stan Javier,22,OAK,S,59,131,8,0,0,0,0,1,8,0
Stan Jefferson,23,NYM,S,14,27,1,0,0,0,0,1,0,0
Steve Jeltz,27,PHI,S,145,510,11,4,9,3,2,1,6,3
Cliff Johnson,38,TOR,R,107,394,12,1,1,0,2,4,0,1
