PlayerName,Age,Team,Bats,Games,PlateAppearances,Doubles,Triples,IntWalks,SacBunts,SacFlies,HitByPitch,StolenBases,CaughtStealing
Gerald Perry,25,ATL,L,29,80,2,0,1,1,1,0,0,1
Pat Perry,27,STL,L,46,8,0,0,0,0,0,0,0,0
Rick Peters,30,OAK,S,44,45,1,0,1,0,0,0,2,2
Geno Petralli,26,TEX,L,69,142,9,3,0,0,0,0,3,0
Gary Pettis,28,CAL,S,154,628,23,4,2,15,5,0,50,13
Ken Phelps,31,SEA,L,125,441,16,4,6,0,3,6,2,3
Tony Phillips,27,OAK,S,118,532,14,5,0,9,3,3,15,10
Chris Pittaro,24,MIN,S,11,21,0,0,0,0,0,0,0,0
Gus Polidor,24,CAL,R,6,20,1,0,0,0,0,0,0,0
Darrell Porter,34,TEX,L,68,178,6,0,0,0,0,1,1,1
Dennis Powell,22,LAD,R,27,14,3,0,0,0,0,0,0,0
Ted Power,31,CIN,R,56,30,1,0,0,3,0,0,1,0
Jim Presley,24,SEA,R,155,660,33,4,3,3,5,4,0,4
Joe Price,29,CIN,R,25,8,0,0,0,0,0,0,0,0
Greg Pryor,36,KCR,R,63,117,4,0,0,2,0,0,1,1
Kirby Puckett,26,MIN,R,161,723,37,6,4,2,0,7,20,12
Terry Puhl,29,HOU,L,81,193,10,0,1,4,2,0,3,2
Charlie Puleo,31,ATL,R,5,7,0,0,0,1,0,0,0,0
Tim Pyznarski,26,SDP,R,15,47,1,0,0,0,0,1,2,0
Luis Quinones,24,SFG,S,71,115,1,3,1,4,1,1,3,1
Rey Quinones,22,TOT,R,98,346,16,1,0,5,2,3,4,3
Jamie Quirk,31,KCR,L,80,238,10,0,3,0,1,1,0,1
Tim Raines,26,MON,S,151,664,35,10,9,1,3,2,70,9
Rafael Ramirez,28,ATL,R,134,530,21,1,1,7,3,3,19,8
Domingo Ramos,28,SEA,R,49,110,2,0,0,2,0,1,0,1
Willie Randolph,31,NYY,R,141,601,15,2,0,8,4,3,15,2
Shane Rawley,30,PHI,R,23,64,2,0,0,10,1,0,0,0
Johnny Ray,29,PIT,S,155,654,33,0,10,1,7,3,6,9
Floyd Rayford,28,BAL,R,81,228,4,0,0,3,0,0,0,0
Randy Ready,26,TOT,R,24,92,4,0,0,1,0,0,2,0
Jeff Reardon,30,MON,R,62,9,0,0,0,1,0,0,0,0
Gary Redus,29,PHI,R,90,392,22,4,4,1,1,3,25,7
Jeff Reed,23,MIN,L,68,185,6,1,0,3,0,1,1,0
Jerry Reed,30,SEA,R,1,0,0,0,0,0,0,0,0,0
Rick Renteria,24,PIT,R,10,12,1,0,0,0,0,0,0,0
Rick Reuschel,37,PIT,R,43,81,2,0,0,8,0,0,0,0
Jerry Reuss,37,LAD,L,19,21,1,0,0,0,0,0,0,0
Craig Reynolds,33,HOU,L,114,329,7,3,5,1,3,0,3,1
Harold Reynolds,25,SEA,S,126,486,19,4,0,9,0,3,30,12
R.J. Reynolds,27,PIT,S,118,449,30,2,4,3,2,1,16,9
Ronn Reynolds,27,PHI,R,43,132,4,0,0,0,1,0,0,0
Rick Rhoden,33,PIT,R,41,101,9,0,0,7,1,0,0,1
Jim Rice,33,BOS,R,157,693,39,2,5,0,9,4,0,1
Ernie Riles,25,MIL,L,145,588,24,2,0,6,3,1,7,7
George Riley,29,MON,L,10,0,0,0,0,0,0,0,0,0
Cal Ripken Jr.,25,BAL,R,162,707,35,1,5,0,6,4,4,2
Luis Rivera,22,MON,R,55,187,11,1,0,1,1,2,1,1
Bert Roberge,31,MON,R,21,2,0,0,0,0,0,0,0,0
Bip Roberts,22,SDP,S,101,258,5,2,1,2,1,0,14,12
Billy Jo Robidoux,22,MIL,L,56,215,8,0,1,0,1,0,0,0
Don Robinson,29,PIT,R,50,6,1,0,0,0,0,0,0,0
Jeff Robinson,25,SFG,R,65,17,0,0,0,1,1,0,0,0
Ron Robinson,24,CIN,R,70,14,0,0,0,0,0,0,0,0
Ruben Rodriguez,21,PIT,R,2,3,0,0,0,0,0,0,0,0
Gary Roenicke,31,NYY,R,69,165,5,0,0,0,1,1,1,1
Ron Roenicke,29,PHI,S,102,343,13,1,4,4,3,0,2,2
Dan Rohn,30,CLE,L,6,11,0,0,0,0,0,0,0,0
Ed Romero,28,BOS,R,100,263,11,0,0,7,3,2,2,0
Kevin Romine,25,BOS,R,35,39,2,0,0,1,0,0,2,0
Pete Rose,45,CIN,S,72,272,8,2,0,0,1,4,3,0
Wade Rowdon,25,CIN,R,38,92,5,1,0,1,1,1,2,0
Jerry Royster,33,SDP,R,118,298,12,0,3,6,3,0,3,5
Dave Rucker,28,PHI,L,19,1,0,0,0,0,0,0,0,0
Bruce Ruffin,22,PHI,S,21,56,1,0,0,1,0,0,0,0
Paul Runge,28,ATL,R,7,10,0,0,0,0,0,0,0,0
Tom Runnells,31,CIN,S,12,11,1,0,0,0,0,0,0,0
Bill Russell,37,LAD,R,105,242,11,0,2,7,2,2,7,0
John Russell,25,PHI,R,93,348,21,2,2,1,4,3,0,1
Dick Ruthven,35,CHC,R,6,1,0,0,0,0,0,0,0,0
Mark Ryal,25,CAL,L,13,34,0,0,1,0,0,0,1,0
Nolan Ryan,39,HOU,R,30,63,0,0,0,3,0,0,0,1
Lenn Sakata,32,OAK,R,17,38,2,0,0,0,1,0,0,1
Mark Salas,25,MIN,L,91,285,7,4,2,5,3,1,3,1
Angel Salazar,24,KCR,R,117,313,20,2,0,5,1,2,1,1
Luis Salazar,30,CHW,R,4,8,0,0,0,0,0,0,0,0
Billy Sample,31,ATL,R,92,221,11,0,1,2,2,3,4,2
Juan Samuel,25,PHI,R,145,633,36,12,3,1,7,8,42,14
Alejandro Sanchez,27,MIN,R,8,17,0,0,0,0,0,0,0,0
Ryne Sandberg,26,CHC,R,154,682,28,5,6,3,6,0,34,11
Scott Sanderson,29,CHC,R,38,58,1,0,0,6,0,1,0,0
Rafael Santana,28,NYM,R,139,436,11,0,12,1,3,2,0,0
Benito Santiago,21,SDP,R,17,65,2,0,0,0,1,0,0,1
Rich Sauveur,22,PIT,L,3,4,0,0,0,1,0,0,0,0
Dave Sax,27,BOS,R,4,11,1,0,0,0,0,0,0,0
Steve Sax,26,LAD,R,157,704,43,4,5,6,3,3,40,17
Dan Schatzeder,31,TOT,L,58,31,2,1,0,0,0,0,0,0
Mike Schmidt,36,PHI,R,160,657,29,1,25,0,9,7,1,2
Dick Schofield,23,CAL,R,139,529,17,6,2,9,9,5,23,5
Bill Schroeder,27,MIL,R,64,237,14,0,0,4,1,6,1,0
Rick Schu,24,PHI,R,92,233,10,1,1,3,2,2,2,2
Mike Scioscia,27,LAD,L,122,449,18,1,4,6,4,3,3,3
Mike Scott,31,HOU,R,38,107,2,0,0,10,0,0,0,0
Bob Sebra,24,MON,R,18,30,1,0,0,0,0,0,0,0
Larry See,26,LAD,R,13,22,2,0,0,0,0,0,0,0
Kevin Seitzer,24,KCR,R,28,116,4,1,0,0,0,1,0,0
Larry Sheets,26,BAL,L,112,364,17,1,3,1,2,2,2,0
John Shelby,28,BAL,S,135,428,14,4,0,2,2,2,18,6
Ron Shepherd,25,TOR,R,65,73,4,0,0,1,0,0,0,0
Pat Sheridan,28,DET,L,98,262,9,1,4,2,2,1,9,2
Steve Shields,27,TOT,R,6,1,0,0,0,0,0,0,0,0
Craig Shipley,23,LAD,R,12,31,1,0,1,1,0,1,0,0
Eric Show,30,SDP,R,24,47,2,0,0,3,0,0,0,0
Ruben Sierra,20,TEX,S,113,411,13,10,3,1,5,1,7,8
Ted Simmons,36,ATL,S,76,144,5,0,5,0,4,1,1,0
Doug Sisk,28,NYM,R,41,4,0,0,0,0,0,0,0,0
Joel Skinner,25,TOT,R,114,336,9,1,0,2,2,1,1,4
Jim Slaton,36,TOT,R,1,0,0,0,0,0,0,0,0,0
Don Slaught,27,TEX,R,95,341,17,1,0,3,3,5,3,2
Roy Smalley,33,MIN,S,143,530,20,4,4,1,2,0,1,3
John Smiley,21,PIT,L,12,0,0,0,0,0,0,0,0,0
Bryn Smith,30,MON,R,30,67,1,0,0,5,0,0,0,0
Dave Smith,31,HOU,R,54,2,0,0,0,0,0,0,0,0
Lee Smith,28,CHC,R,66,5,0,0,0,0,0,0,0,0
Lonnie Smith,30,KCR,R,134,568,25,7,0,2,2,10,26,9
Mike Smith,25,CIN,R,2,0,0,0,0,0,0,0,0,0
Ozzie Smith,31,STL,S,153,609,19,4,13,11,3,2,31,7
Zane Smith,25,ATL,L,43,71,0,0,0,9,0,0,0,0
Cory Snyder,23,CLE,R,103,433,21,1,0,1,0,0,2,3
Ray Soff,27,STL,R,30,3,0,0,0,1,0,0,0,0
Julio Solano,26,HOU,R,16,7,0,0,0,1,0,0,0,0
Mario Soto,29,CIN,R,20,33,1,0,0,6,0,0,0,0
Cliff Speck,29,ATL,R,13,5,0,0,0,1,0,0,0,0
Chris Speier,36,CHC,R,95,176,8,0,3,4,1,1,2,2
Harry Spilman,31,TOT,L,82,159,9,0,3,1,0,0,0,0
Randy St. Claire,25,MON,R,11,2,0,0,0,1,0,0,0,0
Mike Stanley,23,TEX,R,15,33,3,0,0,0,0,0,1,0
Dave Stapleton,32,BOS,R,39,42,1,0,0,1,0,0,0,0
John Stefero,26,BAL,L,52,137,2,0,0,0,1,0,0,1
Terry Steinbach,24,OAK,R,6,16,0,0,0,0,0,0,0,0
Mike Stenhouse,28,BOS,L,21,34,1,0,0,1,0,0,0,0
Dave Stewart,29,TOT,R,8,0,0,0,0,0,0,0,0,0
Dave Stieb,28,TOR,R,1,0,0,0,0,0,0,0,0,0
Kurt Stillwell,21,CIN,S,104,315,6,1,1,4,0,2,6,2
Bob Stoddard,29,SDP,R,18,1,0,0,0,0,0,0,0,0
Tim Stoddard,33,TOT,R,30,4,0,0,0,0,0,0,0,0
Jeff Stone,25,PHI,L,82,275,6,4,0,2,0,4,19,6
Darryl Strawberry,24,NYM,L,136,562,27,5,9,0,9,6,28,12
Franklin Stubbs,25,LAD,L,132,465,11,1,11,4,2,2,7,1
Marc Sullivan,27,BOS,R,41,134,4,0,0,3,1,4,0,0
Jim Sundberg,35,KCR,R,140,491,9,1,1,2,3,0,1,1
Rick Sutcliffe,30,CHC,L,29,60,2,0,0,4,0,1,0,0
Bruce Sutter,33,ATL,R,16,1,0,0,0,0,0,0,0,0
Dale Sveum,22,MIL,S,91,356,13,2,0,5,1,1,4,3
Pat Tabler,28,CLE,R,130,508,29,2,3,2,1,3,3,1
Danny Tartabull,23,SEA,R,137,578,25,6,2,2,3,1,4,8
La Schelle Tarver,27,BOS,L,13,26,0,0,0,0,0,0,0,1
Dwight Taylor,26,KCR,L,4,2,0,0,0,0,0,0,0,0
Wilfredo Tejada,23,MON,R,10,27,1,0,1,0,0,0,0,0
Kent Tekulve,39,PHI,R,73,6,0,0,0,0,0,0,0,0
Garry Templeton,30,SDP,S,147,549,21,2,21,1,2,1,10,5
Scott Terry,26,CIN,R,30,6,0,0,0,1,0,0,0,0
Mickey Tettleton,25,OAK,S,90,262,9,0,0,7,4,1,7,1
Tim Teufel,27,NYM,R,93,318,20,1,1,3,3,1,1,2
Andres Thomas,22,ATL,R,102,335,17,2,2,2,2,0,4,6
Gorman Thomas,35,TOT,R,101,377,8,1,4,3,0,1,3,4
Jason Thompson,31,MON,L,30,69,4,0,2,0,0,0,0,1
Milt Thompson,27,PHI,L,96,332,7,1,1,4,2,1,19,4
Robby Thompson,24,SFG,R,149,615,27,3,0,18,1,5,12,15
Dickie Thon,28,HOU,R,106,309,13,1,5,1,1,0,6,5
Andre Thornton,36,CLE,R,120,475,14,0,0,0,8,1,4,1
Mark Thurmond,29,TOT,L,18,26,1,0,0,2,0,0,0,0
Jay Tibbs,24,MON,R,36,62,1,0,0,4,0,0,0,0
Rusty Tillman,25,OAK,R,22,42,1,0,0,0,0,0,2,0
Freddie Toliver,25,PHI,R,5,8,0,0,0,0,0,1,1,0
Wayne Tolleson,30,TOT,S,141,546,16,5,0,13,4,2,17,10
Tim Tolman,30,DET,R,16,43,1,0,0,2,1,0,1,1
Dave Tomlin,37,MON,L,7,0,0,0,0,0,0,0,0,0
Jim Traber,24,BAL,L,65,240,7,0,2,0,5,5,0,0
Alan Trammell,28,DET,R,151,653,33,7,4,11,4,5,25,12
Alex Trevino,28,LAD,R,89,233,13,0,2,2,1,1,0,0
Manny Trillo,35,CHC,R,81,172,10,0,0,2,2,0,0,2
Steve Trout,28,CHC,L,37,48,1,0,0,4,0,0,0,0
John Tudor,32,STL,L,30,87,1,0,0,13,1,0,0,0
Willie Upshaw,29,TOR,L,155,661,28,6,4,4,4,2,23,5
Jose Uribe,27,SFG,S,157,517,15,1,19,3,0,0,22,11
Sergio Valdez,21,MON,R,5,8,0,0,0,0,0,0,0,0
Fernando Valenzuela,25,LAD,L,39,116,4,0,0,6,1,0,0,0
Dave Valle,25,SEA,R,22,60,3,0,0,0,0,0,0,0
Dave Van Gorder,29,CIN,R,9,11,0,0,0,0,0,0,0,0
Andy Van Slyke,25,STL,L,137,470,23,7,5,1,3,1,21,8
Ed Vande Berg,27,LAD,R,60,1,0,0,0,0,0,0,0,0
Max Venable,29,CIN,L,108,168,7,1,2,2,2,0,7,2
Ozzie Virgil,29,ATL,R,114,431,9,0,5,2,3,4,1,0
Ed Vosberg,24,SDP,L,5,2,0,0,0,0,0,0,0,0
Bob Walk,29,PIT,R,44,42,3,0,0,1,1,0,0,2
Chico Walker,28,CHC,S,28,112,3,2,0,0,1,0,15,4
Greg Walker,26,CHW,L,78,316,10,6,4,0,3,2,1,2
Tony Walker,26,HOU,R,84,101,7,0,2,0,0,0,11,3
Tim Wallach,28,MON,R,134,539,22,1,8,0,5,10,8,4
Denny Walling,32,HOU,L,130,422,23,1,5,0,4,0,1,1
Gene Walter,25,SDP,L,57,13,1,0,0,2,0,0,0,0
Duane Ward,22,TOT,R,10,1,0,0,0,0,0,0,0,0
Gary Ward,32,TEX,R,105,418,15,2,3,1,2,4,12,8
Claudell Washington,31,TOT,L,94,297,16,0,0,1,1,2,10,8
Ron Washington,34,MIN,R,48,81,3,0,0,2,2,0,1,2
U L Washington,32,PIT,S,72,155,0,4,2,4,1,0,6,0
Mark Wasinger,24,SDP,R,3,9,0,0,0,1,0,0,0,0
Mitch Webster,27,MON,S,151,645,31,13,4,3,5,4,36,15
Bill Wegman,23,MIL,R,2,0,0,0,0,0,0,0,0,0
Bob Welch,29,LAD,R,35,86,0,0,0,5,0,1,0,0
Brad Wellman,26,SFG,R,12,14,0,0,0,0,0,0,0,0
Chris Welsh,31,CIN,L,24,48,2,0,0,4,0,0,1,0
Lou Whitaker,29,DET,L,144,651,26,6,5,0,4,0,13,8
Devon White,23,CAL,S,29,57,1,1,0,0,0,0,6,0
Frank White,35,KCR,R,151,620,37,3,5,2,7,2,4,4
Jerry White,33,STL,S,25,29,0,0,0,1,2,0,0,0
Terry Whitfield,33,LAD,L,19,19,0,0,2,0,0,0,0,0
Ed Whitson,31,TOT,R,17,20,0,0,0,2,0,0,0,0
Ernie Whitt,34,TOR,L,131,433,19,2,3,0,3,0,0,1
Alan Wiggins,28,BAL,S,71,270,3,1,0,5,4,0,21,7
Rob Wilfong,32,CAL,L,92,316,11,3,2,8,2,2,1,4
Curt Wilkerson,25,TEX,S,110,249,10,3,0,0,1,1,9,7
Jerry Willard,26,OAK,L,75,193,7,0,0,4,4,2,0,1
Eddie Williams,21,CLE,R,5,7,0,0,0,0,0,0,0,0
Frank Williams,28,SFG,R,36,3,0,0,0,1,0,0,0,0
Ken Williams,22,CHW,R,15,33,0,0,0,0,0,1,1,1
Reggie Williams,25,LAD,R,128,338,14,2,9,9,1,2,9,3
Carl Willis,25,CIN,L,29,4,0,0,0,1,0,0,0,0
Glenn Wilson,27,PHI,R,155,639,30,4,1,0,9,4,5,1
Mookie Wilson,30,NYM,S,123,416,17,5,5,0,1,1,25,7
Willie Wilson,30,KCR,S,156,675,20,7,1,3,1,9,34,8
Robbie Wine,23,HOU,R,9,13,1,0,0,0,0,0,0,0
Dave Winfield,34,NYY,R,154,652,31,5,9,2,6,2,6,5
Jim Winn,26,PIT,R,50,18,1,0,0,1,0,0,0,0
Herm Winningham,24,MON,L,90,204,6,3,3,1,0,0,12,7
Mike Witt,25,CAL,R,1,0,0,0,0,0,0,0,0,0
Jim Wohlford,35,MON,R,70,106,4,2,3,2,1,0,0,2
Ed Wojna,25,SDP,R,7,16,0,0,0,2,0,0,0,0
Mike Woodard,26,SFG,L,48,90,2,1,0,1,0,0,7,2
Al Woods,32,MIN,L,23,32,1,0,0,0,1,0,0,0
Todd Worrell,26,STL,R,74,7,0,1,0,0,0,0,0,0
George Wright,27,TOT,S,105,245,8,3,1,1,4,2,4,6
Ricky Wright,27,TEX,L,2,0,0,0,0,0,0,0,0,0
Butch Wynegar,30,NYY,S,61,226,4,1,2,0,2,0,0,0
Marvell Wynne,26,SDP,L,137,308,19,2,2,1,3,1,11,11
Steve Yeager,37,SEA,R,50,146,2,0,0,2,1,0,0,0
Floyd Youmans,22,MON,R,33,82,0,0,0,2,0,0,0,0
Matt Young,27,SEA,L,1,0,0,0,0,0,0,0,0,0
Mike Young,26,BAL,S,117,426,15,1,2,2,3,3,3,1
Joel Youngblood,34,SFG,R,97,208,12,0,0,2,3,1,1,1
Robin Yount,30,MIL,R,140,595,31,7,7,5,2,4,14,5
Paul Zuvella,27,NYY,R,21,57,1,0,0,4,0,0,0,0
